conference	authors	title	year	DOI
IEEE Transactions on Software Engineering	Z. Gao, Z. Chen, Y. Zou, and A. Memon	SITAR: GUI Test Script Repair	2015	NOT_FOUND
37th International Conference on Software Engineering (ICSE), track on New Ideas and Emerging Results (NIER)	Maria Gomez, Matias Martinez, Martin Monperrus, and Romain Rouvoy	When App Stores Listen to the Crowd to Fight Bugs in the Wild	2015	NOT_FOUND
Proceedings of the International Conference on Automated Software Engineering	Yalin Ke, Kathryn T. Stolee, Claire Le Goues, and Yuriy Brun	Repairing Programs with Semantic Code Search	2015	10.1109/ase.2015.60
International Conference on Computer Aided Verification	Etienne Kneuss, Manos Koukoutos, and Viktor Kuncak	Deductive Program Repair	2015	10.1007/978-3-319-21668-3_13
Technical Report hal-01144026. University of Lille	Sebastian Lamelas and Martin Monperrus	Automatic Repair of Infinite Loops	2015	NOT_FOUND
Proceedings of the IEEE International Symposium on Software Reliability Engineering	Xuan-Bach D. Le, Tien-Duy B. Le, and David Lo	Should fixing these failures be delegated to automated program repair?	2015	NOT_FOUND
IEEE Transactions on Software Engineering (TSE)	Claire Le Goues, Neal Holtschulte, Edward K. Smith, Yuriy Brun, Premkumar Devanbu, Stephanie Forrest, and Westley Weimer	The ManyBugs and IntroClass Benchmarks for Automated Repair of C Programs	2015	NOT_FOUND
Proceedings of ESEC/FSE	Fan Long and Martin C. Rinard	Staged Program Repair with Condition Synthesis	2015	10.1145/2786805.2786811
Empirical Software Engineering	Matias Martinez and Martin Monperrus	Mining Software Repair Models for Reasoning on the Search Space of Automated Program Fixing	2015	NOT_FOUND
Proceedings of the 37th International Conference on Software Engineering	Sergey Mechtaev, Jooyong Yi, and Abhik Roychoudhury	DirectFix: Looking for Simple Program Repairs	2015	10.1109/icse.2015.63
International Conference on Computer Safety, Reliability & Security (SAFECOMP’15)	P. Muntean, V. K. Kommanapalli, A. Ibing, and C. Eckert	Automated Generation of Buffer Overflows Quick Fixes Using Symbolic Execution and SMT	2015	10.1007/978-3-319-24255-2_32
2015 IEEE/ACM 37th IEEE International Conference on Software Engineering	Adrian Nistor, Po-Chun Chang, Cosmin Radoi, and Shan Lu	Caramel: Detecting and fixing performance problems that have non-intrusive fixes	2015	10.1109/icse.2015.100
Software: Practice and Experience	Renaud Pawlak, Martin Monperrus, Nicolas Petitprez, Carlos Noguera, and Lionel Seinturier	Spoon: A Library for Implementing Analyses and Transformations of Java Source Code	2015	NOT_FOUND
Proceedings of ISSTA	Zichao Qi, Fan Long, Sara Achour, and Martin Rinard	An Analysis of Patch Plausibility and Correctness for Generate-And-Validate Patch Generation Systems	2015	10.1145/2771783.2771791
Proceedings of the 10th Joint Meeting of the European Software Engineering Conference and ACM SIGSOFT Symposium on the Foundations of Software Engineering (ESEC/FSE)	Edward K. Smith, Earl Barr, Claire Le Goues, and Yuriy Brun	Is the Cure Worse Than the Disease? Overfitting in Automated Program Repair	2015	10.1145/2786805.2786825
Proceedings of ICSE	Shin Hwei Tan and Abhik Roychoudhury	Relifix: Automated Repair of Software Regressions	2015	10.1109/icse.2015.65
IEEE Transactions on Software Engineering	Yingfei Xiong, Hansheng Zhang, Arnaud Hubaux, Steven She, Jie Wang, and Krzysztof Czarnecki	Range Fixes: Interactive Error Resolution for Software Configuration	2015	10.1109/tse.2014.2383381
arXiv abs/1603.06129	Sahil Bhatia and Rishabh Singh	Automated Correction for Syntax Errors in Programming Assignments using Recurrent Neural Networks	2016	NOT_FOUND
